Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,precio_venta_5%,precio_venta_10%
/BOTON O PERILLA MODERNO TIPO 01 LATON ANTIGUO LOCK LJ2M01A LOCK,LJ2M01A,660731808858,LOCK,13.0,19.0,Pieza,19.95,20.900000000000002
/BOTON O PERILLA MODERNO TIPO 01 LATON BRILLANTE LOCK LJ2M01B LOCK,LJ2M01B,660731808841,LOCK,13.0,19.0,Pieza,19.95,20.900000000000002
/BOTON O PERILLA MODERNO TIPO 01 NIQUEL SATINADO LOCK LJ2M01N LOCK,LJ2M01N,660731808865,LOCK,13.0,19.0,Pieza,19.95,20.900000000000002
/BOTON O PERILLA MODERNO TIPO 02 LATON ANTIGUO LOCK LJ2M02A LOCK,LJ2M02A,660731808889,LOCK,15.0,22.0,Pieza,23.1,24.200000000000003
/BOTON O PERILLA MODERNO TIPO 02 LATON BRILLANTE LOCK LJ2M02B LOCK,LJ2M02B,660731808872,LOCK,15.0,22.0,Pieza,23.1,24.200000000000003
/BOTON O PERILLA MODERNO TIPO 02 NIQUEL SATINADO LOCK LJ2M02N LOCK,LJ2M02N,660731808896,LOCK,15.0,22.0,Pieza,23.1,24.200000000000003
/BOTON O PERILLA MODERNO TIPO 03 NIQUEL RAYADO LOCK LJ2M03N LOCK,LJ2M03N,660731809275,LOCK,25.0,36.0,Pieza,37.800000000000004,39.6
/BROCA ACERO ALTA VELOCIDAD NEGRA IND METRICA 1.0 MM  B10MM URREA,B10MM,660731676679,URREA,30.0,44.0,Pieza,46.2,48.400000000000006
/BROCA ACERO ALTA VELOCIDAD NEGRA IND METRICA 1.1 MM  B11MM URREA,B11MM,660731676686,URREA,30.0,44.0,Pieza,46.2,48.400000000000006
/BROCA ACERO ALTA VELOCIDAD NEGRA IND METRICA 1.2 MM  B12MM URREA,B12MM,660731676693,URREA,30.0,44.0,Pieza,46.2,48.400000000000006
